,home_team_name,away_team_name,home_score,away_score,Matchweek,home_GD_prior,away_GD_prior,home_GD_form,away_GD_form,home_Points_prior,away_Points_prior,home_Points_form,away_Points_form,B365A,B365D,B365H,HomePlayer1_Overall,AwayPlayer1_Overall,HomePlayer2_Overall,AwayPlayer2_Overall,HomePlayer3_Overall,AwayPlayer3_Overall,HomePlayer4_Overall,AwayPlayer4_Overall,HomePlayer5_Overall,AwayPlayer5_Overall,HomePlayer6_Overall,AwayPlayer6_Overall,HomePlayer7_Overall,AwayPlayer7_Overall,HomePlayer8_Overall,AwayPlayer8_Overall,HomePlayer9_Overall,AwayPlayer9_Overall,HomePlayer10_Overall,AwayPlayer10_Overall,HomePlayer11_Overall,AwayPlayer11_Overall
0,Eibar,Celta Vigo,0,0,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,3.25,2.5,81,68,72,78,76,75,75,77,78,76,77,84,76,72,78,73,77,77,70,74,79,75
1,Granada,Athletic Club,2,0,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,3.1,2.75,79,80,75,80,76,80,77,75,76,83,77,79,78,78,76,81,77,80,75,74,78,67
2,Cádiz,Osasuna,0,2,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,3.0,2.8,66,76,69,76,70,69,71,76,69,77,70,77,72,79,76,75,71,74,74,77,63,73
3,Alavés,Betis,0,1,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,3.2,2.8,82,77,77,80,75,83,78,79,75,82,79,80,76,77,76,80,74,76,73,78,75,79
4,Valladolid,Real Sociedad,1,1,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,3.2,2.8,81,80,74,76,77,79,76,76,79,83,71,80,73,73,73,71,78,79,75,73,74,64
5,Villarreal,Huesca,1,1,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,1.57,82,78,82,74,78,71,85,74,83,72,77,70,81,72,80,72,80,75,77,73,75,73
6,Valencia,Levante,4,2,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,2.1,77,83,74,77,82,75,79,72,81,74,83,79,80,79,74,76,80,76,64,75,64,80
7,Villarreal,Eibar,2,1,Matchweek 2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,4.0,1.57,82,81,80,72,82,76,78,75,85,76,83,73,77,78,81,77,80,74,77,70,75,79
8,Getafe,Osasuna,1,0,Matchweek 2,-2.0,2.0,-2.0,2.0,0.0,3.0,0.0,3.0,4.33,3.25,1.95,82,76,82,69,74,76,79,77,75,77,81,73,77,79,80,75,79,74,80,77,76,73
9,Celta Vigo,Valencia,2,1,Matchweek 2,0.0,2.0,0.0,2.0,1.0,3.0,1.0,3.0,3.1,3.6,2.2,68,77,78,82,78,79,75,81,76,72,84,83,72,80,73,74,77,80,74,64,77,64
10,Huesca,Cádiz,0,2,Matchweek 2,0.0,-2.0,0.0,-2.0,1.0,0.0,1.0,0.0,4.0,3.1,2.1,78,73,74,70,74,69,72,70,71,71,70,74,72,69,72,72,75,76,75,71,73,74
11,Granada,Alavés,2,1,Matchweek 2,2.0,-1.0,2.0,-1.0,3.0,0.0,3.0,0.0,4.2,3.1,2.05,79,82,75,75,76,78,76,75,76,76,77,74,78,74,76,73,76,75,75,77,78,62
12,Betis,Valladolid,2,0,Matchweek 2,1.0,0.0,1.0,0.0,3.0,1.0,3.0,1.0,4.33,3.6,1.85,77,75,80,74,83,77,79,76,82,79,80,71,77,73,80,73,76,78,78,75,79,74
13,Real Sociedad,Real Madrid,0,0,Matchweek 2,0.0,2.0,0.0,2.0,1.0,3.0,1.0,3.0,1.72,3.8,4.75,80,89,76,86,83,89,80,86,84,88,73,89,72,87,71,80,79,83,73,83,75,79
14,Alavés,Getafe,0,0,Matchweek 3,-2.0,-1.0,-2.0,-1.0,0.0,3.0,0.0,3.0,2.37,2.9,3.5,82,82,77,82,78,74,75,79,76,75,74,81,74,77,73,80,75,79,77,80,74,76
15,Valencia,Huesca,1,1,Matchweek 3,1.0,-2.0,1.0,-2.0,3.0,1.0,3.0,1.0,4.0,3.4,2.0,77,78,79,74,81,72,72,70,83,72,69,72,80,75,75,75,74,72,80,65,76,73
16,Elche,Real Sociedad,0,3,Matchweek 3,-5.0,0.0,-5.0,0.0,0.0,2.0,0.0,2.0,1.95,3.3,4.2,73,80,67,76,65,83,72,80,69,84,71,73,70,72,72,71,70,79,65,86,66,75
17,Betis,Real Madrid,2,3,Matchweek 3,3.0,2.0,3.0,2.0,6.0,4.0,6.0,4.0,1.8,4.0,4.0,76,89,80,86,83,89,82,86,80,88,77,89,80,89,74,83,76,80,78,83,79,83
18,Osasuna,Levante,1,3,Matchweek 3,1.0,-2.0,1.0,-2.0,3.0,1.0,3.0,1.0,3.25,3.2,2.3,76,83,76,79,69,79,76,70,77,77,77,75,79,75,74,76,75,76,73,75,73,80
19,Eibar,Athletic Club,1,2,Matchweek 3,-1.0,-3.0,-1.0,-3.0,1.0,0.0,1.0,0.0,2.55,3.0,3.0,81,80,72,78,76,80,78,77,76,81,78,83,77,79,74,83,74,81,70,80,74,67
20,Atlético Madrid,Granada,6,1,Matchweek 3,2.0,3.0,2.0,3.0,4.0,6.0,4.0,6.0,7.5,4.0,1.5,91,79,85,75,81,76,84,77,82,75,81,78,81,76,84,75,80,78,82,78,83,76
21,Valladolid,Celta Vigo,1,1,Matchweek 3,-2.0,1.0,-2.0,1.0,1.0,4.0,1.0,4.0,2.7,3.0,2.8,75,68,72,78,73,78,70,75,74,76,77,84,66,72,79,73,77,77,73,74,78,77
22,Cádiz,Sevilla,1,3,Matchweek 3,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,1.7,3.6,5.0,73,76,70,77,69,82,70,79,71,81,74,82,69,78,72,84,76,83,71,83,74,77
23,Barcelona,Villarreal,4,0,Matchweek 3,4.0,1.0,4.0,1.0,6.0,4.0,6.0,4.0,6.0,4.33,1.53,82,82,86,80,87,82,87,78,93,85,83,83,85,77,86,79,83,81,85,80,76,77
24,Real Sociedad,Valencia,0,1,Matchweek 4,3.0,1.0,3.0,1.0,5.0,4.0,5.0,4.0,5.75,4.2,1.53,80,77,76,72,80,79,80,72,71,83,79,69,80,80,86,74,73,80,75,64,63,67
25,Getafe,Betis,3,0,Matchweek 4,-1.0,2.0,-1.0,2.0,4.0,6.0,4.0,6.0,3.0,3.1,2.45,82,76,82,80,74,75,79,83,75,82,81,79,77,80,80,77,79,74,80,76,76,79
26,Villarreal,Alavés,3,1,Matchweek 4,-3.0,-2.0,-3.0,-2.0,4.0,1.0,4.0,1.0,5.75,3.8,1.57,82,82,80,77,82,78,78,75,85,79,83,74,79,73,78,75,79,77,81,74,77,65
27,Huesca,Atlético Madrid,0,0,Matchweek 4,-2.0,7.0,-2.0,7.0,2.0,7.0,2.0,7.0,1.45,4.2,7.5,78,91,74,84,72,81,72,84,72,70,75,81,73,82,75,84,72,79,65,80,75,83
28,Eibar,Elche,0,1,Matchweek 4,-2.0,-8.0,-2.0,-8.0,1.0,0.0,1.0,0.0,4.5,3.5,1.8,81,73,72,67,76,65,72,69,78,72,77,69,74,71,79,70,74,72,75,70,74,66
29,Real Madrid,Valladolid,1,0,Matchweek 4,3.0,-2.0,3.0,-2.0,7.0,2.0,7.0,2.0,11.0,6.0,1.22,89,75,89,73,86,70,89,74,87,75,83,76,89,73,83,79,80,73,79,73,84,75
30,Sevilla,Levante,1,0,Matchweek 4,2.0,0.0,2.0,0.0,6.0,4.0,6.0,4.0,7.5,4.5,1.4,76,83,82,71,79,76,80,75,82,72,79,79,79,79,84,77,80,75,83,75,83,80
31,Athletic Club,Cádiz,0,1,Matchweek 4,-2.0,-2.0,-2.0,-2.0,3.0,3.0,3.0,3.0,6.5,3.8,1.53,80,74,78,70,80,71,77,74,81,70,83,70,79,72,83,75,81,71,80,74,67,69
