,home_team_name,away_team_name,home_score,away_score,Matchweek,home_GD_prior,away_GD_prior,home_GD_form,away_GD_form,home_Points_prior,away_Points_prior,home_Points_form,away_Points_form,B365A,B365D,B365H,HomePlayer1_Overall,AwayPlayer1_Overall,HomePlayer2_Overall,AwayPlayer2_Overall,HomePlayer3_Overall,AwayPlayer3_Overall,HomePlayer4_Overall,AwayPlayer4_Overall,HomePlayer5_Overall,AwayPlayer5_Overall,HomePlayer6_Overall,AwayPlayer6_Overall,HomePlayer7_Overall,AwayPlayer7_Overall,HomePlayer8_Overall,AwayPlayer8_Overall,HomePlayer9_Overall,AwayPlayer9_Overall,HomePlayer10_Overall,AwayPlayer10_Overall,HomePlayer11_Overall,AwayPlayer11_Overall
0,Valencia,Getafe,1,0,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,3.0,2.55,75,81,74,81,82,73,73,75,81,74,80,72,81,76,83,79,74,79,76,78,80,73
1,Mallorca,Betis,1,1,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,3.4,3.3,73,81,70,75,73,72,71,70,75,78,73,84,75,80,75,83,73,78,75,74,74,70
2,Cádiz,Levante,1,1,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,3.25,2.8,77,81,73,73,75,80,71,73,75,80,75,81,74,77,71,78,73,77,78,77,74,82
3,Alavés,Real Madrid,1,4,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.44,4.75,7.0,80,89,77,82,78,84,76,71,77,85,73,89,73,87,73,89,75,83,75,81,77,82
4,Osasuna,Espanyol,0,0,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,3.2,2.25,78,77,75,75,72,77,78,75,75,74,76,79,73,72,79,77,78,80,73,76,74,74
5,Celta Vigo,Atlético Madrid,1,2,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3.4,4.2,75,91,77,84,76,79,78,85,76,88,84,83,79,83,75,86,68,84,77,84,76,82
6,Barcelona,Real Sociedad,4,2,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.0,1.72,82,81,76,77,84,74,86,79,77,82,85,83,77,85,81,81,86,74,87,85,77,78
7,Sevilla,Rayo Vallecano,3,0,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.2,1.44,80,70,74,72,80,73,75,73,82,76,84,75,84,73,82,75,76,74,83,71,84,72
8,Villarreal,Granada,0,0,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,4.2,1.53,80,70,82,61,78,76,86,78,75,79,79,77,77,78,76,81,80,70,77,78,73,78
9,Elche,Athletic Club,0,0,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,3.3,3.8,73,63,73,81,71,80,72,73,73,81,74,83,74,78,74,75,73,77,74,75,77,71
10,Betis,Cádiz,1,1,Matchweek 2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,7.0,4.2,1.5,81,77,75,73,72,75,78,71,75,75,84,74,80,74,83,71,78,73,70,78,76,74
11,Alavés,Mallorca,0,1,Matchweek 2,-3.0,0.0,-3.0,0.0,0.0,1.0,0.0,1.0,3.4,3.2,2.25,80,73,77,70,78,73,76,71,77,71,73,71,73,73,73,75,75,75,77,75,74,74
12,Espanyol,Villarreal,0,0,Matchweek 2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.3,3.4,3.1,77,80,75,82,77,78,78,86,79,75,79,79,72,77,77,76,74,80,80,78,76,77
13,Granada,Valencia,1,1,Matchweek 2,0.0,1.0,0.0,1.0,1.0,3.0,1.0,3.0,2.87,3.4,2.45,70,75,61,74,76,82,79,81,77,78,70,80,78,81,75,83,79,74,77,76,78,80
14,Athletic Club,Barcelona,1,1,Matchweek 2,0.0,2.0,0.0,2.0,1.0,3.0,1.0,3.0,1.85,3.75,4.0,63,82,81,76,80,84,73,86,81,77,83,85,78,77,74,81,75,86,75,87,71,77
15,Real Sociedad,Rayo Vallecano,1,0,Matchweek 2,-2.0,-3.0,-2.0,-3.0,0.0,0.0,0.0,0.0,7.5,4.33,1.44,81,75,74,73,79,73,83,75,85,69,74,74,77,75,82,74,85,71,74,69,78,72
16,Atlético Madrid,Elche,1,0,Matchweek 2,1.0,0.0,1.0,0.0,3.0,1.0,3.0,1.0,17.0,5.75,1.22,91,73,84,73,79,71,82,72,85,73,88,74,83,74,83,73,86,74,84,74,84,77
17,Levante,Real Madrid,3,3,Matchweek 2,0.0,3.0,0.0,3.0,1.0,3.0,1.0,3.0,1.6,4.33,5.0,81,89,80,82,75,84,80,71,81,85,76,89,78,89,77,83,74,81,77,82,82,82
18,Getafe,Sevilla,0,1,Matchweek 2,-1.0,3.0,-1.0,3.0,0.0,3.0,0.0,3.0,2.2,3.2,3.5,81,82,81,82,78,80,75,75,74,82,72,84,76,84,79,82,79,83,78,85,73,84
19,Osasuna,Celta Vigo,0,0,Matchweek 2,0.0,-1.0,0.0,-1.0,1.0,0.0,1.0,0.0,2.75,3.25,2.62,78,75,75,76,78,78,75,76,76,84,73,79,79,75,73,72,77,77,74,76,73,66
20,Mallorca,Espanyol,1,0,Matchweek 3,1.0,0.0,1.0,0.0,4.0,2.0,4.0,2.0,3.1,2.9,2.6,73,77,70,77,71,78,71,79,75,79,73,72,75,77,75,73,75,74,74,80,73,76
