,home_team_name,away_team_name,home_score,away_score,Matchweek,home_GD_prior,away_GD_prior,home_GD_form,away_GD_form,home_Points_prior,away_Points_prior,home_Points_form,away_Points_form,B365A,B365D,B365H,HomePlayer1_Overall,AwayPlayer1_Overall,HomePlayer2_Overall,AwayPlayer2_Overall,HomePlayer3_Overall,AwayPlayer3_Overall,HomePlayer4_Overall,AwayPlayer4_Overall,HomePlayer5_Overall,AwayPlayer5_Overall,HomePlayer6_Overall,AwayPlayer6_Overall,HomePlayer7_Overall,AwayPlayer7_Overall,HomePlayer8_Overall,AwayPlayer8_Overall,HomePlayer9_Overall,AwayPlayer9_Overall,HomePlayer10_Overall,AwayPlayer10_Overall,HomePlayer11_Overall,AwayPlayer11_Overall
0,Leganés,Alavés,1,0,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,3.2,2.05,75,77,75,72,75,76,74,70,78,73,76.0,76.0,74.0,74.0,73,75,73,72,75,75,75,75
1,Valencia,Las Palmas,1,0,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,3.8,1.75,80,73,74,74,80,77,76,77,81,75,82.0,78.0,79.0,83.0,76,82,78,75,83,75,70,75
2,Celta Vigo,Real Sociedad,2,3,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,3.25,2.38,77,83,80,81,78,79,78,82,73,77,83.0,79.0,74.0,79.0,77,79,80,74,77,70,80,78
3,Girona,Atlético Madrid,2,2,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45,4.33,8.0,77,88,76,84,75,88,73,82,77,81,74.0,85.0,76.0,81.0,71,82,76,77,73,83,72,83
4,Sevilla,Espanyol,1,1,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,4.0,1.62,73,78,79,76,81,75,79,79,83,79,78.0,80.0,80.0,78.0,80,76,80,80,70,79,79,76
5,Athletic Club,Getafe,0,0,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,4.0,1.5,80,73,84,70,80,72,82,71,78,75,81.0,71.0,78.0,72.0,81,73,81,75,79,74,69,74
6,Barcelona,Betis,2,0,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,8.0,1.17,85,81,81,77,87,77,86,76,93,72,83.0,78.0,82.0,80.0,79,72,85,70,81,78,83,63
7,La Coruña,Real Madrid,0,3,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,5.75,9.5,72,85,78,84,78,90,76,87,79,90,80.0,86.0,77.0,89.0,72,89,76,87,78,85,75,86
8,Levante,Villarreal,1,0,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,3.25,3.25,74,76,72,63,75,82,77,77,75,82,73.0,79.0,78.0,82.0,74,74,75,70,73,79,77,77
9,Málaga,Eibar,0,1,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,3.3,2.1,79,74,73,77,77,78,74,78,74,73,76.0,78.0,78.0,81.0,74,74,77,75,77,77,78,71
