,home_team_name,away_team_name,home_score,away_score,Matchweek,home_GD_prior,away_GD_prior,home_GD_form,away_GD_form,home_Points_prior,away_Points_prior,home_Points_form,away_Points_form,B365A,B365D,B365H,HomePlayer1_Overall,AwayPlayer1_Overall,HomePlayer2_Overall,AwayPlayer2_Overall,HomePlayer3_Overall,AwayPlayer3_Overall,HomePlayer4_Overall,AwayPlayer4_Overall,HomePlayer5_Overall,AwayPlayer5_Overall,HomePlayer6_Overall,AwayPlayer6_Overall,HomePlayer7_Overall,AwayPlayer7_Overall,HomePlayer8_Overall,AwayPlayer8_Overall,HomePlayer9_Overall,AwayPlayer9_Overall,HomePlayer10_Overall,AwayPlayer10_Overall,HomePlayer11_Overall,AwayPlayer11_Overall
0,Athletic Club,Barcelona,1,0,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65,3.8,5.25,73,90,76,82,80,88,74,89,82,84,82,85,81,89,79,87,78,76,78,82,80,85
1,Celta Vigo,Real Madrid,1,3,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65,4.2,4.75,76,88,72,89,76,85,78,88,75,87,85,90,79,85,75,85,72,87,68,80,77,79
2,Valencia,Real Sociedad,1,1,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,3.75,1.66,83,80,78,75,82,83,81,76,83,79,80,82,81,82,80,79,80,72,83,78,83,69
3,Mallorca,Eibar,2,1,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,3.2,2.8,70,80,70,77,71,77,75,75,75,80,69,76,72,79,73,79,72,69,74,80,71,73
4,Leganés,Osasuna,0,1,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,3.2,2.0,77,70,76,72,74,69,75,73,70,75,76,73,74,72,76,75,76,70,76,65,73,68
5,Villarreal,Granada,4,4,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,3.8,1.6,78,71,83,73,73,74,81,69,82,76,78,73,76,75,69,73,73,69,79,74,73,72
6,Alavés,Levante,1,0,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,3.2,2.15,82,76,76,76,75,77,78,78,77,78,74,75,70,75,76,74,78,77,75,75,75,80
7,Espanyol,Sevilla,0,2,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,3.3,3.2,80,81,77,77,78,78,71,78,79,82,77,82,80,79,75,78,75,77,79,78,77,81
8,Betis,Valladolid,1,2,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,3.75,1.66,78,81,77,76,83,77,76,75,84,79,83,70,80,71,80,75,83,74,80,77,71,68
9,Atlético Madrid,Getafe,1,0,Matchweek 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.33,1.44,91,82,85,83,82,77,85,79,80,80,85,74,83,75,83,77,77,80,82,77,80,79
10,Granada,Sevilla,0,1,Matchweek 2,0.0,2.0,0.0,2.0,1.0,3.0,1.0,3.0,1.95,3.6,3.6,71,81,73,77,74,78,69,78,76,83,73,82,75,82,73,79,69,77,74,78,72,81
11,Levante,Villarreal,2,1,Matchweek 2,-1.0,0.0,-1.0,0.0,0.0,1.0,0.0,1.0,2.62,3.4,2.55,76,78,76,79,77,83,78,73,82,81,78,82,75,78,76,76,75,79,78,76,80,73
12,Osasuna,Eibar,0,0,Matchweek 2,1.0,-1.0,1.0,-1.0,3.0,0.0,3.0,0.0,2.9,3.2,2.5,70,80,72,77,69,75,72,78,75,80,73,76,72,79,75,74,70,79,65,77,68,73
13,Real Madrid,Valladolid,1,1,Matchweek 2,2.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,13.0,6.5,1.2,88,81,85,73,89,76,85,77,88,77,87,75,85,73,85,70,87,74,85,77,86,68
14,Getafe,Athletic Club,1,1,Matchweek 2,-1.0,1.0,-1.0,1.0,0.0,3.0,0.0,3.0,2.9,3.0,2.6,82,73,83,76,79,80,80,81,74,82,73,82,75,81,77,79,78,78,77,78,79,80
15,Celta Vigo,Valencia,1,0,Matchweek 2,-2.0,0.0,-2.0,0.0,0.0,1.0,0.0,1.0,2.25,3.4,3.1,76,83,76,82,78,81,75,83,85,81,79,86,75,81,74,80,72,77,68,80,77,83
16,Alavés,Espanyol,0,0,Matchweek 2,1.0,-2.0,1.0,-2.0,3.0,0.0,3.0,0.0,3.0,3.2,2.45,82,80,76,77,75,78,77,80,77,80,70,75,72,78,76,79,78,77,75,78,75,67
17,Mallorca,Real Sociedad,0,1,Matchweek 2,1.0,0.0,1.0,0.0,3.0,1.0,3.0,1.0,2.4,3.1,3.1,70,80,70,75,71,83,75,76,75,79,69,82,72,82,73,79,72,72,74,78,71,69
18,Leganés,Atlético Madrid,0,1,Matchweek 2,-1.0,1.0,-1.0,1.0,0.0,3.0,0.0,3.0,1.8,3.4,4.75,69,91,75,85,74,82,79,85,75,80,70,85,76,83,74,83,76,82,76,80,76,80
19,Barcelona,Betis,5,2,Matchweek 2,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,10.0,6.0,1.25,90,69,82,83,88,76,89,84,81,84,85,80,89,80,87,83,82,80,85,81,67,71
20,Sevilla,Celta Vigo,1,1,Matchweek 3,3.0,-1.0,3.0,-1.0,6.0,3.0,6.0,3.0,6.0,4.2,1.53,81,76,78,76,78,78,83,75,79,85,82,79,82,75,79,74,77,72,78,68,81,77
21,Athletic Club,Real Sociedad,2,0,Matchweek 3,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,3.4,3.1,2.3,73,80,80,75,80,77,74,83,82,76,82,79,77,82,81,82,79,79,78,72,80,78
22,Osasuna,Barcelona,2,2,Matchweek 3,1.0,2.0,1.0,2.0,4.0,3.0,4.0,3.0,1.33,5.0,10.0,70,90,72,82,69,88,73,89,73,81,75,85,73,89,72,87,74,82,70,85,68,67
23,Levante,Valladolid,2,0,Matchweek 3,0.0,1.0,0.0,1.0,3.0,4.0,3.0,4.0,3.75,3.5,2.0,76,81,77,73,82,76,78,77,75,77,76,75,75,73,73,74,74,77,77,74,80,68
24,Getafe,Alavés,1,1,Matchweek 3,-1.0,1.0,-1.0,1.0,1.0,4.0,1.0,4.0,5.75,3.4,1.72,82,73,83,76,79,75,80,79,74,77,75,74,77,72,80,76,77,78,79,75,82,75
25,Betis,Leganés,2,1,Matchweek 3,-4.0,-2.0,-4.0,-2.0,0.0,0.0,0.0,0.0,4.33,3.3,1.95,78,77,76,73,84,76,84,75,80,74,83,79,80,75,80,76,81,76,71,76,80,73
26,Valencia,Mallorca,2,0,Matchweek 3,-1.0,0.0,-1.0,0.0,1.0,3.0,1.0,3.0,8.0,4.75,1.4,83,70,83,70,81,71,86,75,77,75,81,69,80,72,80,73,83,72,75,74,83,71
27,Atlético Madrid,Eibar,3,2,Matchweek 3,2.0,-1.0,2.0,-1.0,6.0,1.0,6.0,1.0,10.0,4.0,1.4,91,80,85,77,85,75,80,78,85,76,83,79,77,80,80,80,83,79,80,77,80,73
28,Espanyol,Granada,0,3,Matchweek 3,-2.0,-1.0,-2.0,-1.0,1.0,1.0,1.0,1.0,4.0,3.3,2.05,80,71,77,73,78,76,79,73,80,75,80,73,75,69,78,74,79,68,77,72,78,75
29,Villarreal,Real Madrid,2,2,Matchweek 3,-1.0,2.0,-1.0,2.0,1.0,4.0,1.0,4.0,1.9,4.0,3.6,78,88,79,85,83,89,73,85,81,88,82,87,78,85,76,87,69,81,79,83,73,80
